"inn","name","group",2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
7726221073,"ЗАО «Комбинат дошкольного питания»","картель",1180356910,3537863474,6975346432,6975346432,13745282952,13839782255,22171314040,22171314040,27835962709,33907632018
7728095201,"ООО «Школьник-ЮЗ»","картель",1466657783,3063219194,6113041117,6113041117,13148844250,13148844250,25313868921,25313868921,29421711529,33522853392
7704167591,"ООО «ВИТО-1»","картель",1053572671,6969199396,7070942791,7070942791,10362466931,10399175752,15735641000,15735641000,19608677233,23492704091
7801499923,"ООО «Комбинат питания «Конкорд»","картель",1632605354,6257036232,6340862030,6340862030,12419554458,12677570021,22336314852,22390474594,22443486501,22443486501
7713213445,"ООО «Московский школьник»","картель",596517365,1491225367,2228981847,2228981847,9198059259,9198059259,19606934975,19606934975,20028382097,20463418703
7729583071,"ООО «РусСоцКапитал»","картель",0,0,0,0,0,0,0,0,6007680067,14999405728
7729644246,"ООО «Верона»","картель",0,0,0,0,0,0,0,0,6768587410,13644701531
7716771303,"ОАО «Объединенный комбинат школьного питания» СВАО","картель",111619847,6557763104,6560611557,6560611557,10558626235,10558626235,10558626235,10558626235,10558626235,10558626235
7729628928,"ООО «Продсоюз»","картель",187712,187712,187712,187712,187712,187712,187712,187712,4344598740,4344598740
7715631649,"ООО «Вилмап»","картель",602279,1356076,1356076,1356076,1356076,1356076,1356076,1356076,961736235,3767476661
7708729192,"ООО «Социальное питание «Центр»","картель",6263270,6263270,6263270,6263270,6263270,6263270,2707042039,2707042039,2707042039,2707042039
7709537944,"ООО «Коникс-Школьник»","другие",734600292,735182284,2120125315,2120125315,2120125315,2120125315,2120125315,2120125315,2120125315,2120125315
7703803815,"ОАО «Социальное питание «Центр»","другие",0,2730277100,2731459522,2731459522,2872552108,2872552108,2872552108,2872552108,2872552108,2872552108
7714938596,"ООО «Спектр-Кейтеринг»","другие",0,0,1226637879,1226637879,1226637879,1226637879,1226637879,1226637879,1226637879,1226637879
7727021870,"ООО «Сатурн-ШБС-3»","другие",333366119,707987232,802901434,802901434,802901434,802901434,802901434,802901434,802901434,802901434
7736622807,"ООО «АВК»","картель",553149484,582950992,582950992,582950992,582950992,582950992,582950992,582950992,582950992,582950992
7714024401,"ООО «Комбинат школьного питания «Логарифм»","другие",263146339,514403103,528115092,528115092,528115092,528115092,528115092,528115092,528115092,528115092
7723521819,"ООО «Комбинат детского питания»","другие",440220867,440479527,440479527,440479527,440479527,440479527,440479527,440479527,440479527,440479527
7736538312,"ОАО «Мосгорснабпродторг»","другие",382428258,387334361,396566182,396566182,396566182,396566182,396566182,396566182,396566182,396566182
7726666308,"ООО «Комбинат питания «Прогресс»","другие",0,0,316738549,347731794,347731794,357926563,362499785,379912561,379912561,379912561
7720240721,"ООО «Восточный комбинат питания»","другие",296824759,297004759,297004759,297004759,297004759,297004759,297004759,297004759,297004759,297004759
7726526477,"ООО «М.А.С.»","другие",5058723,42031658,234435078,268769957,268769957,268769957,268769957,268769957,268769957,268769957
7718778350,"ООО «Мисан»","другие",208419558,224430479,225262340,225262340,225262340,225262340,225262340,225262340,225262340,225262340
7733840765,"ОАО «Комбинат питания «Школьник»","картель",101555778,101555778,127870398,127870398,265596303,265596303,265596303,265596303,265596303,265596303
0,"Не указано","неизвестно",0,0,0,0,0,0,0,0,66899387,88145130
7721519518,"ООО «Уикенд-130»","другие",0,66070368,68622845,68622845,68622845,68622845,68622845,68622845,68622845,68622845
7733747389,"ООО «ПродФутСервис»","картель",64999687,64999687,64999687,64999687,64999687,64999687,64999687,64999687,64999687,64999687
7810827017,"ООО «Комбинат питания «Невский»","другие",17000068,46297463,46297463,46297463,46297463,46297463,46297463,46297463,46297463,46297463
7732015760,"ООО «Интеграл»","другие",3648846,32164705,33043854,33043854,33043854,33043854,33043854,33043854,33043854,33043854
7701214966,"ГУП ШБС «Эллипс»","другие",28010192,28010192,28010192,28010192,28010192,28010192,28010192,28010192,28010192,28010192
9705046297,"ООО «Пегас-Прод»","другие",0,0,0,0,0,0,0,0,18521321,27626839
5046041506,"МУП «Магазин «Центральный»","другие",0,0,0,0,25524165,25524165,25524165,25524165,25524165,25524165
7718532692,"ООО «Комбинат питания «Альф»","картель",14448626,16137349,16137349,16137349,25123576,25123576,25123576,25123576,25123576,25123576
7707513017,"ООО «Атлантис»","другие",0,24288610,24598610,24598610,24598610,24598610,24598610,24598610,24598610,24598610
7729677146,"ООО «Вента»","другие",214574,814214,19072328,19072328,19072328,19072328,19072328,19072328,19072328,19072328
7718761195,"ООО «Гамма+»","другие",3763520,16396859,16396859,16396859,16396859,16396859,16396859,16396859,16396859,16396859
7720771225,"ОАО «Перовский школьник»","другие",3267515,17565729,18977536,18977536,18977536,18977536,18977536,18977536,18977536,18977536
7751527033,"ООО «Горобщепит»","другие",0,0,0,0,0,0,0,14220836,14220836,14220836
7721029295,"ООО «Кафе «Утро»","другие",14130472,14130472,14130472,14130472,14130472,14130472,14130472,14130472,14130472,14130472
7731419840,"ООО «Комбинат питания «Хлебосол»","другие",0,8758705,12288226,12288226,12288226,12288226,12288226,12288226,12288226,12288226
7743813104,"ООО «Инпродком»","другие",11657722,11657722,11657722,11657722,11657722,11657722,11657722,11657722,11657722,11657722
5032209325,"ООО «ТД «Кеви»","другие",0,0,0,0,0,0,0,0,9038670,9038670
7720203656,"ООО «КПФ «Прометей»","другие",0,0,8997286,8997286,8997286,8997286,8997286,8997286,8997286,8997286
7703104800,"ГУП ШБС «Пресня»","другие",8684785,8684785,8684785,8684785,8684785,8684785,8684785,8684785,8684785,8684785
7734550025,"ООО «ТПК «Здоровый Город»","другие",8280674,8280674,8280674,8280674,8280674,8280674,8280674,8280674,8280674,8280674
7743667943,"ООО «ТД «ДиетЭкс»","другие",0,3051113,6443854,6443854,6443854,6443854,6443854,6443854,6443854,6443854
7724230058,"ООО «СоцПроекты»","другие",0,4726621,4726621,4726621,4726621,4726621,4726621,4726621,4726621,4726621
7734667295,"ООО «Вымпел-Торг»","другие",0,2745210,4555628,4555628,4555628,4555628,4555628,4555628,4555628,4555628
7709911888,"ООО «КПФ «Капитал»","другие",0,0,4178916,4178916,4178916,4178916,4178916,4178916,4178916,4178916
7712004569,"ГУП ШБС «Перемена»","другие",4019963,4019963,4019963,4019963,4019963,4019963,4019963,4019963,4019963,4019963
7743768821,"ООО «ТД «Икма»","другие",3862404,3862404,3862404,3862404,3862404,3862404,3862404,3862404,3862404,3862404
7729648378,"ООО «КП «Хлебосол»","другие",3848934,3848934,3848934,3848934,3848934,3848934,3848934,3848934,3848934,3848934
7715643066,"ООО «Дельта-Торг»","другие",3712670,3712670,3712670,3712670,3712670,3712670,3712670,3712670,3712670,3712670
7719583379,"АНО «Столовая при ГОУ Гимназия №1563»","другие",3571872,3571872,3571872,3571872,3571872,3571872,3571872,3571872,3571872,3571872
5003041276,"ООО «Региональное общество сбыта «Продукт»","другие",1289210,1289210,3190860,3190860,3190860,3190860,3190860,3190860,3190860,3190860
7737033890,"ОАО «Комбинат школьного питания «Загорье»","другие",3077463,3077463,3077463,3077463,3077463,3077463,3077463,3077463,3077463,3077463
7735062768,"ГУП «Школьный комбинат питания Зеленограда»","другие",3061252,3061252,3061252,3061252,3061252,3061252,3061252,3061252,3061252,3061252
7715944786,"ООО «Компания «Юнорд»","другие",0,0,2890944,2890944,2890944,2890944,2890944,2890944,2890944,2890944
7723003084,"ГУП ШБС «Люблино»","другие",2261087,2261087,2261087,2261087,2261087,2261087,2261087,2261087,2261087,2261087
7717746476,"ООО «ОбщепитСтандарт»","другие",0,0,2138296,2138296,2138296,2138296,2138296,2138296,2138296,2138296
7714007477,"ГУП «Школьное питание» САО","другие",2112292,2112292,2112292,2112292,2112292,2112292,2112292,2112292,2112292,2112292
7727270348,"ЗАО «Каховка 6»","другие",685717,1145717,1944141,1944141,1944141,1944141,1944141,1944141,1944141,1944141
5018086760,"ООО «Антураж-Центр»","другие",377820,1425419,1825259,1825259,1825259,1825259,1825259,1825259,1825259,1825259
7734634170,"ООО «ВДВ-Инвест»","другие",0,1785789,1785789,1785789,1785789,1785789,1785789,1785789,1785789,1785789
7721035450,"ГУП ШБС «Выхино»","другие",1487476,1487476,1487476,1487476,1487476,1487476,1487476,1487476,1487476,1487476
7722348270,"ООО «Экосреда»","другие",0,0,0,0,0,0,0,0,0,1308978
7729424096,"ООО «Фуд Сервис»","другие",1240783,1240783,1240783,1240783,1240783,1240783,1240783,1240783,1240783,1240783
7731257156,"ООО «Школьные годы»","другие",1205263,1205263,1205263,1205263,1205263,1205263,1205263,1205263,1205263,1205263
5036084762,"ИП Балакина Л.В.","другие",1147575,1147575,1147575,1147575,1147575,1147575,1147575,1147575,1147575,1147575
7734509757,"КП «Физкультурно-спортивный центр «Строгино»","другие",0,735840,1107680,1107680,1107680,1107680,1107680,1107680,1107680,1107680
7722464519,"ООО «Ньютехнолоджи»","другие",0,0,0,0,0,0,0,0,0,1045968
7720536380,"АНО «Столовая ГОУ СОШ № 1925»","другие",1021000,1021000,1021000,1021000,1021000,1021000,1021000,1021000,1021000,1021000
7729438652,"АНО «Берегиня»","другие",1018500,1018500,1018500,1018500,1018500,1018500,1018500,1018500,1018500,1018500
3526013449,"ОАО «Дед Мороз»","другие",924080,924080,924080,924080,924080,924080,924080,924080,924080,924080
7723862777,"ОАО «Социальное питание «Юго-Восток»","другие",2226081,2226081,4311317,4311317,4311317,4311317,4311317,4311317,4311317,4311317
7731066480,"ГУП ШБС «Кунцево»","другие",871519,871519,871519,871519,871519,871519,871519,871519,871519,871519
2301013215,"ФГОУ СПО «Анапский сельскохозяйственный техникум»","другие",748752,748752,748752,748752,748752,748752,748752,748752,748752,748752
7727393519,"ООО «ТД Агроресурс»","другие",0,0,0,0,0,0,0,0,0,677824
7708556493,"ООО «Галант»","другие",0,0,649627,649627,649627,649627,649627,649627,649627,649627
7721516595,"ООО «Надин»","другие",0,310191,606395,606395,606395,606395,606395,606395,606395,606395
7719046744,"ООО «Фабус»","другие",0,0,600000,600000,600000,600000,600000,600000,600000,600000
7722761208,"ООО «Тридос Плюс»","другие",0,367500,598500,598500,598500,598500,598500,598500,598500,598500
7719048879,"ГБОУ «Школа № 1563»","другие",547262,547262,547262,547262,547262,547262,547262,547262,547262,547262
7715617588,"ООО «Юннис»","другие",0,0,540225,540225,540225,540225,540225,540225,540225,540225
7705853184,"ООО «Макси-Инжиниринг»","другие",0,0,517500,517500,517500,517500,517500,517500,517500,517500
7725692898,"ООО «Комбинат питания «Лагуна»","другие",511800,511800,511800,511800,511800,511800,511800,511800,511800,511800
7720501290,"ООО «Мериленд»","другие",0,277200,504000,504000,504000,504000,504000,504000,504000,504000
7736235460,"ООО «Механика»","другие",490000,490000,490000,490000,490000,490000,490000,490000,490000,490000
7727096668,"ООО «НПО Лабиринт»","другие",0,445954,445954,445954,445954,445954,445954,445954,445954,445954
7707185704,"ЗАО «Продуктово-пищевая компания»","другие",0,400500,400500,400500,400500,400500,400500,400500,400500,400500
7715758525,"ООО «ПиС»","другие",0,399500,399500,399500,399500,399500,399500,399500,399500,399500
7715346144,"ООО «Валигор Н»","другие",0,0,398640,398640,398640,398640,398640,398640,398640,398640
7718551423,"ООО «ИДиС-тур»","другие",0,0,396270,396270,396270,396270,396270,396270,396270,396270
772365032425,"ИП Кашина А.М.","другие",0,0,396000,396000,396000,396000,396000,396000,396000,396000
7721002046,"ЗАО «Кузьминское»","другие",395000,395000,395000,395000,395000,395000,395000,395000,395000,395000
504800196280,"ИП Иванова Е.В.","другие",0,0,392000,392000,392000,392000,392000,392000,392000,392000
7701922648,"ООО «Компания Аэролинк»","другие",0,0,382872,382872,382872,382872,382872,382872,382872,382872
7709770563,"ЗАО «А Клуб»","другие",0,0,361200,361200,361200,361200,361200,361200,361200,361200
771987911317,"ИП Нану М.П.","другие",0,0,353100,353100,353100,353100,353100,353100,353100,353100
7728623363,"ООО «Инженерные комплексные системы»","другие",350000,350000,350000,350000,350000,350000,350000,350000,350000,350000
7726639110,"ООО «Ученик»","другие",328720,328720,328720,328720,328720,328720,328720,328720,328720,328720
7709160529,"ООО «Калитники-Кейтеринг»","другие",305000,305000,305000,305000,305000,305000,305000,305000,305000,305000
7715747450,"ЗАО «Гостиничный комплекс «Металлург»","другие",0,0,301050,301050,301050,301050,301050,301050,301050,301050
7734708054,"ООО «Орион»","другие",0,0,275000,275000,275000,275000,275000,275000,275000,275000
7730651150,"ООО «Созвездие»","другие",0,263188,263188,263188,263188,263188,263188,263188,263188,263188
7724285586,"ООО «Вода ОнЛайн»","другие",0,0,257911,257911,257911,257911,257911,257911,257911,257911
7701503608,"АНО «Санаторно-курортное информационное объединение «Здравница»","другие",0,0,257400,257400,257400,257400,257400,257400,257400,257400
7730052050,"ФГУП «ГКНПЦ им. М.В.Хруничева»","другие",254665,254665,254665,254665,254665,254665,254665,254665,254665,254665
5029163832,"ООО «Халмер»","другие",0,0,120000,254300,254300,254300,254300,254300,254300,254300
2374000698,"ООО «Джей Эс Эн»","другие",0,0,237758,237758,237758,237758,237758,237758,237758,237758
5039000717,"ГУП «Пансионат с лечением «Пущино»","другие",229896,229896,229896,229896,229896,229896,229896,229896,229896,229896
1655019276,"ООО «Персона Грата»","другие",0,0,217360,217360,217360,217360,217360,217360,217360,217360
7710867182,"ООО «Профпоставка»","другие",204050,204050,204050,204050,204050,204050,204050,204050,204050,204050
7728785685,"ООО «Хорошие продукты»","другие",0,195998,195998,195998,195998,195998,195998,195998,195998,195998
7743623093,"ООО «Восток-Запад Столица»","другие",0,184000,184000,184000,184000,184000,184000,184000,184000,184000
7723323824,"ООО «ЛТ-Трейд»","другие",178080,178080,178080,178080,178080,178080,178080,178080,178080,178080
7736509030,"ООО «ДНД Инвест»","другие",0,0,176400,176400,176400,176400,176400,176400,176400,176400
132601571710,"ИП Коянкин Д.П.","другие",0,0,166353,166353,166353,166353,166353,166353,166353,166353
3441013182,"Волгоградская РОО «Детский оздоровительный центр физкультуры и спорта»","другие",0,0,161000,161000,161000,161000,161000,161000,161000,161000
7719079370,"ЗАО «МПО Электромонтаж»","другие",0,150015,150015,150015,150015,150015,150015,150015,150015,150015
5029171551,"ООО «Лангур»","другие",0,0,146702,146702,146702,146702,146702,146702,146702,146702
7731260409,"ООО «ДЕНИС»","другие",0,0,137500,137500,137500,137500,137500,137500,137500,137500
7715775390,"ООО «ДГС»","другие",129850,129850,129850,129850,129850,129850,129850,129850,129850,129850
7714008061,"ГБУК «Москонцерт»","другие",0,0,127062,127062,127062,127062,127062,127062,127062,127062
7724726255,"ООО «ШБС 2000»","другие",117793,117793,117793,117793,117793,117793,117793,117793,117793,117793
7701922285,"ООО «Вкус»","другие",112170,112170,112170,112170,112170,112170,112170,112170,112170,112170
7203195453,"ООО «Муромец»","другие",0,105300,105300,105300,105300,105300,105300,105300,105300,105300
262800967612,"ИП Федотова О.Ф.","другие",0,0,105000,105000,105000,105000,105000,105000,105000,105000
7735575015,"ООО «Город вод»","другие",0,0,0,98499,98499,98499,98499,98499,98499,98499
782600145587,"ИП Коршунова Т.М.","другие",0,0,93500,93500,93500,93500,93500,93500,93500,93500
231200538917,"ИП Лукьянова Н.Н.","другие",0,0,91800,91800,91800,91800,91800,91800,91800,91800
5005001110,"ЗАО «Мособлстрой № 5»","другие",0,89250,89250,89250,89250,89250,89250,89250,89250,89250
7728719820,"ООО «РиАл»","другие",0,0,51050,51050,51050,51050,51050,51050,51050,51050
